100, 70, 31.8310304661331, 574, 864, 46, 1947, 0, 1670308517787, 1670308520209, [100, 7, 21], [0, 0], 5.036555453502073
90, 70, 35.455684646521505, 539, 1217, 25, 1746, 0, 1670308572773, 1670308576337, [100, 19, 24], [-1, 0], 5.255808574936481
90, 60, 24.00338698736537, 703, 1086, 39, 3003, 0, 1670308654723, 1670308658138, [90, 15, 25], [0, -1], 3.07893624773799
100, 50, 31.636211652500485, 581, 1112, 44, 1873, 0, 1670308715793, 1670308717987, [90, 11, 25], [1, -1], 4.603639646755018
110, 50, 14.321424607974798, 1734, 4406, 33, 6358, 0, 1670308805936, 1670308827695, [100, 13, 26], [1, -1], 0.6313447631799858
100, 60, 23.954606457047543, 824, 1445, 56, 2713, 0, 1670308889038, 1670308893336, [110, 10, 27], [-1, 1], 2.526324241409781
110, 50, 29.85886522339847, 637, 1230, 35, 2232, 0, 1670308952462, 1670308954069, [100, 13, 28], [1, -1], 3.951676180968564
120, 60, 28.69414286410277, 655, 1291, 53, 2278, 0, 1670309013462, 1670309018111, [110, 18, 25], [1, 1], 3.6683895249428238
120, 50, 21.83655688410072, 1155, 2250, 80, 11180, 0, 1670309219357, 1670309223543, [120, 12, 24], [0, -1], 1.5892690599782182
130, 50, 34.79208177332977, 740, 1068, 61, 1872, 1, 1670309295953, 1670309298433, [120, 9, 24], [1, 0], 4.318778770274301
120, 50, 30.287472903924304, 725, 1437, 27, 2093, 0, 1670309351999, 1670309356575, [130, 11, 23], [-1, -1], 3.491753851040385
110, 50, 21.253736413487267, 730, 1524, 74, 3095, 0, 1670309420278, 1670309424986, [120, 11, 23], [-1, -1], 2.3912844749648143
100, 50, 26.105954907548853, 875, 1761, 45, 2408, 0, 1670309488017, 1670309492428, [110, 12, 23], [-1, -1], 2.4810829602308355
90, 50, 38.21125501666194, 460, 1161, 11, 1753, 0, 1670309552346, 1670309554481, [100, 13, 23], [-1, 0], 6.366420362656104
100, 60, 37.72408666580672, 486, 1237, 10, 1704, 0, 1670309609282, 1670309612732, [90, 12, 23], [1, 1], 5.929595514902031
110, 50, 34.00935098205855, 668, 1195, 47, 2003, 0, 1670309672273, 1670309675711, [100, 11, 23], [1, -1], 4.397381818212898
100, 50, 40.146350122073066, 375, 858, 25, 1497, 0, 1670309731129, 1670309733598, [110, 11, 23], [-1, 0], 8.512796887632117
110, 50, 29.482589879451904, 677, 1481, 25, 2254, 0, 1670309789343, 1670309792792, [100, 12, 24], [1, 0], 3.519048684584854
110, 60, 32.15210484928186, 464, 937, 35, 1892, 0, 1670309847586, 1670309850555, [110, 12, 24], [0, 1], 5.755836886731447
110, 50, 25.22492253989206, 825, 1495, 55, 2420, 0, 1670309910135, 1670309915290, [110, 11, 23], [0, -1], 2.6303360312713306
110, 60, 39.94313574960116, 593, 1145, 8, 1846, 0, 1670309969500, 1670309973131, [110, 12, 23], [0, 1], 5.678580572874774
110, 70, 27.1621507383942, 738, 1379, 38, 2568, 0, 1670310045270, 1670310051522, [110, 12, 23], [0, 1], 3.1357828144070883
110, 80, 9.535332080418389, 1813, 4647, 39, 10281, 0, 1670310173054, 1670310178160, [110, 13, 24], [0, 1], 0.40067787546929945
110, 90, 34.52982253654894, 594, 1023, 51, 2663, 0, 1670310254356, 1670310256388, [110, 10, 23], [0, 1], 5.079409022734472
110, 90, 34.00707317176565, 544, 1084, 15, 1882, 0, 1670310293891, 1670310304853, [110, 11, 23], [0, 0], 5.215808768675713
100, 80, 47.43295053226022, 450, 829, 11, 1379, 0, 1670310355766, 1670310359251, [110, 12, 23], [-1, -1], 9.021101280384219
110, 70, 26.63427738143087, 984, 1698, 36, 2241, 0, 1670310434197, 1670310437926, [100, 11, 23], [1, -1], 2.363709387773417
120, 70, 37.113727504195325, 646, 1194, 23, 1669, 0, 1670310494106, 1670310498057, [110, 10, 23], [1, 0], 4.911822062492763
110, 70, 41.7256962519255, 515, 968, 25, 1645, 0, 1670310548615, 1670310552011, [120, 11, 23], [-1, 0], 6.889976263527989
120, 70, 27.01048105899349, 842, 1585, 32, 2729, 0, 1670310609360, 1670310616663, [110, 10, 23], [1, 0], 2.726678887441297
120, 60, 54.284564255730686, 343, 789, 11, 1263, 0, 1670310672160, 1670310673748, [120, 10, 23], [0, -1], 12.56005651451427
120, 60, 28.175771382749254, 714, 1315, 46, 2276, 0, 1670310719063, 1670310722814, [120, 10, 23], [0, 0], 3.3775798828517445
120, 70, 35.890164432724, 519, 1053, 22, 2015, 0, 1670310782567, 1670310783809, [120, 13, 22], [0, 1], 5.735085399923936
110, 70, 20.77632235778818, 672, 1091, 43, 5649, 0, 1670310875645, 1670310878982, [120, 12, 23], [-1, 0], 2.748918015055329
120, 60, 28.217497069429008, 712, 1240, 64, 2230, 0, 1670310934906, 1670310938616, [110, 10, 23], [1, -1], 3.4512594263000254
120, 60, 29.899844761435435, 698, 1428, 11, 2029, 0, 1670310979474, 1670310983309, [120, 13, 23], [0, 0], 3.5426356352411656
130, 70, 30.56052945476207, 782, 1391, 22, 2013, 2, 1670311058714, 1670311063001, [120, 13, 23], [1, 1], 3.381337625001336
130, 70, 22.52645990028454, 999, 2029, 25, 2657, 0, 1670311108359, 1670311113356, [130, 10, 23], [0, 0], 1.869415759359713
130, 60, 22.08859352273359, 839, 1377, 57, 2954, 0, 1670311190786, 1670311194163, [130, 11, 23], [0, -1], 2.333466461307161
140, 70, 29.198343226088223, 591, 1195, 23, 2220, 0, 1670311252744, 1670311256286, [130, 10, 23], [1, 1], 4.102043161855609
130, 80, 26.96039835406582, 744, 1320, 55, 2284, 0, 1670311322316, 1670311324720, [140, 10, 23], [-1, 1], 3.137848970445277
130, 80, 37.356164041019206, 634, 1265, 21, 1710, 0, 1670311366757, 1670311369468, [130, 11, 23], [0, 0], 4.913991586558695
140, 70, 48.182435763668174, 244, 511, 7, 1456, 0, 1670311421965, 1670311423732, [130, 11, 23], [1, -1], 16.20122251636455
130, 70, 24.510520566645447, 818, 1415, 49, 2986, 0, 1670311499886, 1670311504368, [140, 9, 23], [-1, 0], 2.6147344321149397
120, 80, 47.195157325073104, 337, 660, 19, 1341, 0, 1670311554948, 1670311558101, [130, 9, 23], [-1, 1], 11.751782202458442
130, 90, 36.182058814530045, 577, 1114, 48, 1839, 0, 1670311629071, 1670311631992, [120, 10, 23], [1, 1], 5.286683052970491
120, 80, 36.01760818695014, 544, 985, 29, 1807, 0, 1670311685657, 1670311688543, [130, 9, 23], [-1, -1], 5.697185730298978
