90, 70, 43.25805661839921, 624, 1070, 28, 1473, 0, 1670332398750, 1670332401361, [100, 7, 24], [-1, 0], 6.065347254402581
80, 70, 59.767834038537025, 257, 593, 18, 924, 0, 1670332449126, 1670332452974, [90, 10, 24], [-1, 0], 18.435482430147136
70, 60, 26.518512725792192, 764, 1489, 35, 2304, 0, 1670332510291, 1670332514566, [80, 10, 24], [-1, -1], 2.917328132650406
80, 70, 72.54411867271654, 241, 472, 28, 877, 0, 1670332562233, 1670332563506, [70, 12, 24], [1, 1], 25.259094245374836
90, 80, 16.115584548649526, 943, 1878, 56, 4902, 0, 1670332648773, 1670332656443, [80, 11, 24], [1, 1], 1.4261579246592502
90, 90, 26.938161847991477, 826, 1388, 45, 2354, 0, 1670332729747, 1670332733807, [90, 9, 25], [0, 1], 2.8706481082684863
80, 100, 30.46961862567194, 774, 1421, 19, 2083, 0, 1670332792601, 1670332796267, [90, 10, 24], [-1, 1], 3.372771599033865
80, 100, 20.166754332044583, 1010, 2444, 36, 5709, 0, 1670332892123, 1670332893162, [80, 9, 24], [0, 1], 1.555116774525338
80, 100, 46.30660132712257, 521, 1028, 31, 1426, 0, 1670332928767, 1670332932654, [80, 10, 24], [0, 0], 7.440006639961852
80, 100, 61.27060639754266, 276, 602, 7, 946, 0, 1670332981628, 1670332983488, [80, 10, 24], [0, 1], 17.9573875725506
70, 100, 41.98064516153805, 561, 1043, 20, 1628, 0, 1670333035569, 1670333037582, [80, 10, 24], [-1, 0], 6.385860231447832
60, 90, 30.986347985906562, 465, 861, 18, 2108, 0, 1670333093919, 1670333097305, [70, 10, 24], [-1, -1], 5.693926495021418
60, 100, 44.05054965422848, 615, 1043, 19, 1495, 0, 1670333147174, 1670333151303, [60, 10, 24], [0, 1], 6.2875463394559645
50, 100, 30.46744696390997, 656, 1115, 26, 2081, 0, 1670333223527, 1670333227466, [60, 11, 24], [-1, 1], 4.074277475783628
50, 100, 29.52539888872238, 696, 862, 31, 2680, 0, 1670333283716, 1670333305800, [50, 10, 24], [0, 1], 4.049012464169278
40, 90, 29.271789013603552, 636, 1286, 23, 2108, 0, 1670333360274, 1670333364341, [50, 11, 24], [-1, -1], 3.821382377755033
30, 100, 33.940936934366654, 666, 1174, 27, 1790, 0, 1670333418126, 1670333421628, [40, 12, 25], [-1, 1], 4.421695796556364
30, 100, 35.24686765558623, 482, 932, 10, 1697, 0, 1670333462071, 1670333463777, [30, 13, 25], [0, 0], 6.162039799927663
40, 90, 35.7768073406199, 692, 1223, 54, 1828, 0, 1670333516191, 1670333520140, [30, 14, 25], [1, -1], 4.4821858357078295
40, 100, 29.37081892060653, 597, 1120, 13, 2119, 0, 1670333578955, 1670333583922, [40, 12, 25], [0, 1], 4.186262673974705
50, 100, 40.42263565426215, 577, 1007, 20, 1646, 0, 1670333636177, 1670333638440, [40, 12, 25], [1, 1], 6.0969284546398415
40, 100, 27.0115743447602, 713, 1378, 27, 2199, 0, 1670333694649, 1670333700106, [50, 10, 25], [-1, 1], 3.192857487560307
50, 100, 33.02662259245501, 736, 1243, 41, 1993, 0, 1670333771099, 1670333775827, [40, 14, 25], [1, 1], 3.9439482436655133
50, 90, 39.57611241557271, 603, 1002, 23, 1745, 0, 1670333826925, 1670333836229, [50, 11, 25], [0, -1], 5.796150031571867
60, 80, 35.24587129491507, 492, 878, 24, 1882, 0, 1670333892240, 1670333893479, [50, 11, 25], [1, -1], 6.192176966780581
50, 80, 37.29878636723332, 475, 1017, 31, 1574, 0, 1670333944963, 1670333948353, [60, 12, 25], [-1, 0], 6.393346994726315
60, 70, 42.651139698941854, 515, 1029, 11, 1642, 0, 1670334002150, 1670334003366, [50, 13, 25], [1, -1], 6.903713127054363
60, 70, 29.2550825940554, 638, 1275, 31, 2320, 0, 1670334044335, 1670334049611, [60, 12, 25], [0, 0], 3.822195269670159
60, 60, 27.527440683488454, 639, 1208, 17, 2207, 0, 1670334106061, 1670334110458, [60, 12, 25], [0, -1], 3.6566738421212075
70, 70, 29.798807395363873, 648, 1230, 65, 2219, 0, 1670334168059, 1670334171555, [60, 15, 26], [1, 1], 3.898326451512804
70, 70, 34.87998634936237, 582, 1079, 23, 1918, 0, 1670334209010, 1670334213872, [70, 12, 26], [0, 0], 5.118870905395123
60, 60, 30.395192135338547, 693, 1286, 46, 2041, 0, 1670334285124, 1670334288940, [70, 13, 26], [-1, -1], 3.745095137424661
50, 70, 37.024584364957, 489, 991, 33, 1706, 0, 1670334356268, 1670334358941, [60, 12, 26], [-1, 1], 6.281741493884797
50, 70, 39.18857402008459, 431, 739, 24, 1577, 0, 1670334414824, 1670334416454, [50, 13, 26], [0, 0], 7.955455546099185
40, 60, 26.66896492939304, 656, 1218, 51, 2362, 0, 1670334474709, 1670334477986, [50, 11, 25], [-1, -1], 3.4707138117377716
40, 70, 38.442274021575926, 522, 950, 36, 1719, 0, 1670334529704, 1670334533838, [40, 12, 25], [0, 1], 6.326904875177078
40, 80, 29.778266574544773, 536, 1176, 44, 1995, 0, 1670334588464, 1670334592468, [40, 12, 25], [0, 1], 4.484678700985659
50, 80, 36.08444490266604, 537, 1123, 45, 1777, 0, 1670334644868, 1670334648703, [40, 12, 26], [1, 0], 5.515812427799761
50, 90, 30.300712626223678, 502, 1080, 13, 2080, 4, 1670334722055, 1670334723739, [50, 13, 26], [0, 1], 4.9062034692719685
50, 100, 35.13928627851444, 563, 1034, 35, 1896, 0, 1670334777409, 1670334781146, [50, 12, 26], [0, 1], 5.346817753882294
50, 100, 39.87156612717926, 443, 910, 10, 1553, 0, 1670334817239, 1670334820943, [50, 12, 26], [0, 0], 7.433177876058772
40, 90, 29.933072136464165, 611, 1008, 27, 2098, 0, 1670334876253, 1670334879694, [50, 12, 26], [-1, -1], 4.335612997749734
40, 100, 30.435338921269157, 685, 1304, 43, 2018, 0, 1670334937218, 1670334940896, [40, 12, 25], [0, 1], 3.7630241000580065
40, 100, 30.429977150190837, 661, 1126, 21, 2094, 0, 1670334997578, 1670335000189, [40, 12, 25], [0, 1], 4.03580598808897
40, 100, 30.242449203255042, 589, 1143, 20, 2075, 0, 1670335056033, 1670335057636, [40, 12, 25], [0, 1], 4.321584624643475
50, 100, 64.3345609800765, 302, 559, 16, 1018, 0, 1670335105561, 1670335107261, [40, 11, 25], [1, 0], 18.20445981326443
40, 90, 41.372893728640335, 598, 969, 47, 1691, 0, 1670335158939, 1670335163192, [50, 10, 25], [-1, -1], 6.154848814138698
40, 100, 36.607591327696255, 708, 1216, 17, 1860, 0, 1670335215070, 1670335219708, [40, 12, 25], [0, 1], 4.521688652136395
40, 100, 27.159721673702627, 740, 1580, 19, 2304, 0, 1670335275874, 1670335280892, [40, 12, 25], [0, 1], 2.9911587746368533
40, 100, 29.082161853347372, 612, 1190, 26, 2079, 0, 1670335345769, 1670335348327, [40, 12, 25], [0, 1], 3.9969986054628053
40, 90, 31.751719062598156, 613, 1029, 31, 2696, 0, 1670335404302, 1670335426287, [40, 13, 25], [0, -1], 4.560718049784279
40, 100, 25.514394573893565, 712, 1278, 24, 2697, 0, 1670335502851, 1670335506471, [40, 12, 25], [0, 1], 3.0919043351785707
40, 100, 35.25429427410628, 404, 744, 17, 1787, 0, 1670335558404, 1670335583950, [40, 12, 25], [0, 1], 7.469130142819126
40, 100, 30.25100330213082, 623, 1142, 28, 1981, 0, 1670335641496, 1670335645568, [40, 12, 25], [0, 1], 4.162218396000387
50, 90, 9.825982198288175, 1954, 4438, 29, 12396, 0, 1670335793740, 1670335798141, [40, 11, 25], [1, -1], 0.4009295821074006
60, 100, 26.4500447808086, 593, 989, 26, 2500, 0, 1670335854777, 1670335858865, [50, 10, 25], [1, 1], 3.9348474830122875
60, 100, 33.677117824054626, 601, 1167, 16, 1917, 9, 1670335929952, 1670335933713, [60, 10, 25], [0, 1], 4.715362338848309
