90, 60, 115.74518847842702, 502, 949, 17, 1417, 0, 1675772720875, 1675772722353, [100, 2, 5], [-1, -1], 19.571387974032298
90, 60, 144.53591075116378, 358, 758, 20, 983, 0, 1675772746866, 1675772748228, [90, 14, 6], [0, 0], 32.999066381544246
80, 60, 182.7428626765443, 24, 46, 9, 238, 0, 1675772787186, 1675772788273, [90, 13, 6], [-1, 0], 643.4607840723389
70, 50, 178.8238077879887, 37, 65, 9, 264, 0, 1675772827074, 1675772828185, [80, 8, 6], [-1, -1], 419.77419668541944
70, 50, 172.11907914811422, 27, 44, 10, 230, 0, 1675772852081, 1675772853242, [70, 7, 6], [0, 0], 566.1811814082705
80, 50, 183.24519432552674, 16, 28, 9, 48, 0, 1675772891818, 1675772892920, [70, 6, 6], [1, 0], 995.8977952474278
80, 50, 178.26103505588895, 26, 48, 9, 141, 0, 1675772916553, 1675772917727, [80, 4, 6], [0, 0], 586.3849837364768
70, 50, 186.58340034322993, 19, 31, 9, 49, 0, 1675772956191, 1675772957419, [80, 4, 6], [-1, -1], 871.88504833285
80, 60, 184.62502725092654, 19, 34, 9, 60, 0, 1675772995934, 1675772997391, [70, 4, 6], [1, 1], 839.2046693223934
70, 50, 187.88267084615154, 19, 37, 8, 57, 0, 1675773035905, 1675773037044, [80, 4, 6], [-1, -1], 831.3392515316439
70, 50, 184.5929168744649, 29, 57, 9, 249, 0, 1675773060513, 1675773061643, [70, 5, 6], [0, 0], 533.5055400996094
80, 50, 188.88587654461918, 20, 38, 8, 143, 0, 1675773100114, 1675773101561, [70, 5, 6], [1, 0], 800.3638836636405
70, 50, 189.41092484906318, 25, 47, 9, 240, 0, 1675773140089, 1675773141136, [80, 4, 6], [-1, 0], 644.254846425385
60, 60, 190.38557382991252, 17, 29, 9, 48, 0, 1675773179596, 1675773180700, [70, 8, 5], [-1, 1], 981.3689372675902
70, 50, 189.66339019937587, 16, 28, 9, 56, 0, 1675773219176, 1675773220245, [60, 5, 5], [1, -1], 1030.7792945618253
60, 50, 182.3553162182415, 73, 117, 9, 466, 0, 1675773258898, 1675773259958, [70, 4, 5], [-1, 0], 222.92825943550304
70, 50, 186.80015348658736, 21, 38, 9, 142, 0, 1675773298585, 1675773299640, [60, 4, 5], [1, -1], 765.5743995351941
70, 50, 190.93083109137706, 22, 38, 9, 171, 0, 1675773338086, 1675773339135, [70, 4, 5], [0, -1], 757.662028140385
60, 50, 189.39818547211888, 14, 25, 8, 38, 0, 1675773377575, 1675773378628, [70, 4, 5], [-1, -1], 1169.1246016797459
50, 50, 189.48710123332674, 14, 23, 8, 42, 0, 1675773417110, 1675773418162, [60, 4, 5], [-1, -1], 1199.28545084384
60, 60, 188.14742049532506, 32, 55, 9, 273, 0, 1675773456771, 1675773457834, [50, 4, 5], [1, 1], 514.0639904243855
50, 60, 189.30943716055555, 15, 29, 8, 45, 0, 1675773496276, 1675773497658, [60, 4, 5], [-1, 0], 1063.5361638233458
40, 60, 190.47774539656106, 18, 38, 8, 71, 0, 1675773536112, 1675773537851, [50, 4, 5], [-1, 0], 865.807933620732
40, 50, 182.35240411351168, 34, 55, 8, 346, 0, 1675773576506, 1675773577650, [40, 4, 5], [0, -1], 477.3623144332766
30, 50, 188.85892826570793, 18, 32, 8, 48, 0, 1675773616106, 1675773617283, [40, 4, 5], [-1, 0], 907.9756166620573
40, 50, 178.97897897897897, 32, 75, 9, 261, 0, 1675773655851, 1675773657696, [30, 4, 5], [1, 0], 440.8349235935442
40, 50, 183.6646408462403, 54, 100, 10, 226, 0, 1675773696239, 1675773697610, [40, 4, 5], [0, -1], 290.60860893392453
30, 50, 178.25538499667957, 27, 49, 10, 153, 0, 1675773736227, 1675773737454, [40, 5, 5], [-1, 0], 567.6923089066228
20, 60, 182.83735497521502, 20, 40, 9, 96, 0, 1675773776032, 1675773777116, [30, 4, 5], [-1, 1], 761.8223123967293
20, 70, 181.13387014776066, 15, 24, 9, 42, 0, 1675773815718, 1675773816904, [20, 4, 5], [0, 1], 1078.1777984985754
10, 60, 184.16596643465033, 17, 31, 9, 63, 0, 1675773855636, 1675773857115, [20, 4, 5], [-1, -1], 930.1311436093451
10, 70, 184.24692992506218, 22, 44, 9, 157, 0, 1675773895748, 1675773897258, [10, 4, 5], [0, 1], 697.9050375949324
10, 80, 183.57357686248412, 17, 29, 9, 46, 0, 1675773935847, 1675773937158, [10, 4, 5], [-1, 1], 946.2555508375469
20, 80, 178.97123968212787, 26, 49, 9, 188, 0, 1675773975843, 1675773976936, [10, 4, 5], [1, 0], 584.8733322945355
20, 70, 183.9146162653241, 19, 36, 9, 70, 0, 1675774015596, 1675774016769, [20, 4, 5], [0, -1], 821.0473940416254
30, 80, 189.25812426756477, 29, 54, 8, 179, 0, 1675774055277, 1675774056493, [20, 4, 5], [1, 1], 556.6415419634258
30, 80, 186.4850907560775, 21, 38, 8, 65, 0, 1675774080130, 1675774081194, [30, 4, 5], [0, 0], 764.2831588363831
30, 70, 186.83547308382376, 16, 30, 8, 53, 0, 1675774119842, 1675774120910, [30, 4, 5], [0, -1], 993.8057078926795
30, 80, 188.14692097475324, 15, 23, 8, 41, 0, 1675774159504, 1675774160567, [30, 4, 5], [0, 1], 1133.4151865948988
40, 90, 188.76866529239987, 18, 37, 8, 61, 0, 1675774199064, 1675774200132, [30, 4, 5], [1, 1], 865.9113086807332
30, 80, 179.55937899831633, 32, 69, 10, 105, 0, 1675774239164, 1675774240316, [40, 4, 5], [-1, -1], 455.73446446273175
20, 80, 182.53977502576197, 100, 188, 15, 282, 0, 1675774278921, 1675774279982, [30, 4, 5], [-1, 0], 155.22089713075
