100, 70, 112.61602098466506, 658, 996, 22, 1413, 0, 1675808649025, 1675808650678, [100, 2, 5], [0, 0], 15.520399804942814
90, 60, 146.75536591130182, 443, 817, 18, 1027, 0, 1675808690430, 1675808691872, [100, 13, 6], [-1, -1], 28.342094614001894
80, 70, 184.11977529422728, 28, 51, 9, 172, 0, 1675808730322, 1675808731393, [90, 11, 6], [-1, 1], 564.7845867921081
80, 80, 180.76391694798167, 45, 79, 8, 270, 0, 1675808770498, 1675808771551, [80, 8, 6], [0, 1], 348.96509063316927
70, 70, 161.45849117555838, 71, 180, 9, 493, 0, 1675808811043, 1675808812103, [80, 7, 6], [-1, -1], 173.9854430771103
70, 60, 191.571056989637, 31, 50, 8, 171, 0, 1675808850651, 1675808851698, [70, 5, 6], [0, -1], 550.4915430736696
60, 60, 190.2045128123496, 25, 52, 9, 146, 0, 1675808890458, 1675808891513, [70, 5, 6], [-1, 0], 625.672739514308
50, 60, 186.89059785787236, 26, 43, 9, 74, 0, 1675808930633, 1675808931685, [60, 5, 6], [-1, 0], 635.6823056390216
60, 50, 188.45280513287565, 32, 72, 8, 288, 0, 1675808970255, 1675808971299, [50, 5, 6], [1, -1], 471.13201283218916
50, 50, 190.74977304688423, 18, 32, 9, 45, 0, 1675809009768, 1675809010807, [60, 5, 6], [-1, -1], 917.0662165715587
50, 50, 190.116817025214, 27, 53, 8, 157, 0, 1675809034922, 1675809035961, [50, 5, 6], [0, 0], 590.4248975938323
50, 60, 189.06023838030058, 47, 77, 9, 266, 0, 1675809074346, 1675809075514, [50, 6, 6], [0, 1], 356.7174309062275
50, 70, 177.0685678731656, 93, 136, 9, 371, 0, 1675809114117, 1675809115438, [50, 7, 6], [0, 1], 174.28008648933618
50, 60, 180.3548682833429, 40, 65, 9, 170, 0, 1675809153927, 1675809155644, [50, 6, 6], [0, -1], 400.7885961852065
60, 60, 190.47774539656106, 62, 107, 10, 343, 0, 1675809194125, 1675809195173, [50, 4, 6], [1, 0], 268.27851464304376
50, 60, 157.34828234828234, 102, 180, 9, 688, 0, 1675809233994, 1675809235856, [60, 4, 6], [-1, 0], 133.79955981996795
50, 50, 176.1965621990072, 52, 76, 10, 257, 0, 1675809274641, 1675809275688, [50, 5, 6], [0, -1], 310.20521513909716
40, 50, 170.78475960409912, 104, 192, 13, 535, 0, 1675809314379, 1675809316049, [50, 6, 6], [-1, -1], 140.44799309547625
50, 60, 189.76169064343435, 64, 109, 11, 375, 0, 1675809354397, 1675809355599, [40, 5, 7], [1, 1], 259.9475214293621
60, 50, 164.67450677976993, 128, 225, 14, 710, 0, 1675809394338, 1675809395836, [50, 6, 7], [1, -1], 111.71947542725232
60, 50, 155.10532510268297, 110, 181, 26, 664, 0, 1675809434763, 1675809436107, [60, 6, 7], [0, -1], 124.88351457542912
50, 50, 188.60877684407095, 54, 95, 11, 144, 0, 1675809474565, 1675809475617, [60, 6, 7], [-1, -1], 303.22954476538735
60, 60, 146.2598916831979, 50, 84, 8, 665, 0, 1675809514776, 1675809516319, [50, 6, 7], [1, 1], 257.4998093014048
50, 60, 185.18582025315587, 91, 184, 11, 676, 0, 1675809554860, 1675809556419, [60, 5, 7], [-1, 0], 168.96516446455828
40, 60, 190.65846235495007, 18, 36, 8, 142, 0, 1675809594894, 1675809595936, [50, 5, 7], [-1, 0], 882.6780664581021
40, 60, 173.71332812143473, 43, 91, 9, 216, 0, 1675809620357, 1675809621401, [40, 5, 7], [0, 0], 330.2534755160357
