110, 28.878553743832914, 711, 1323, 33, 2072, 1, 1670055219894, 1670055223738, [100, 6, 25], [1, 1], 3.4651492373209636
120, 25.244652087458338, 664, 1327, 49, 5380, 0, 1670055326465, 1670055329814, [110, 12, 25], [1, -1], 3.1690499733188973
110, 24.843754301630337, 928, 1737, 75, 2412, 0, 1670055392816, 1670055397061, [120, 9, 25], [-1, 1], 2.279661800479935
120, 29.487249158308146, 736, 1546, 38, 2149, 0, 1670055458808, 1670055462681, [110, 10, 25], [1, 0], 3.283658035446341
110, 24.12875264915026, 833, 1467, 64, 2436, 0, 1670055520353, 1670055528935, [120, 10, 25], [-1, 0], 2.5139354708429105
110, 26.390068089840213, 700, 1282, 30, 2398, 0, 1670055570394, 1670055575796, [110, 11, 25], [0, 1], 3.232492416687924
120, 28.00543147608701, 881, 1530, 39, 2469, 0, 1670055631862, 1670055646284, [110, 10, 25], [1, 0], 2.7706204467834397
120, 23.22666122107734, 895, 1711, 65, 2639, 0, 1670055690965, 1670055696075, [120, 11, 26], [0, 1], 2.194921680313489
130, 14.953119934792547, 1118, 2274, 55, 4944, 0, 1670055796260, 1670055800797, [120, 14, 26], [1, 1], 1.108295281262418
120, 26.018875925896197, 851, 1839, 47, 2316, 0, 1670055858943, 1670055863084, [130, 10, 25], [-1, 1], 2.4812965788571613
120, 25.695598140800975, 581, 1167, 32, 2759, 0, 1670055904459, 1670055914313, [120, 12, 25], [0, -1], 3.6802632685191883
110, 8.679699817868308, 2980, 7304, 92, 14463, 0, 1670056081861, 1670056086698, [120, 10, 25], [-1, 1], 0.2257516598488428
110, 24.066066736141387, 795, 1364, 30, 2824, 0, 1670056130590, 1670056152417, [110, 10, 25], [0, 0], 2.648114737691614
100, 35.4041826660849, 658, 1258, 37, 1839, 0, 1670056206663, 1670056210328, [110, 9, 25], [-1, -1], 4.550666152453072
100, 22.213670999707706, 815, 1378, 49, 3134, 0, 1670056254817, 1670056263970, [100, 11, 25], [0, 0], 2.394746765815837
110, 31.02636250616819, 684, 1333, 28, 2106, 0, 1670056318437, 1670056321905, [100, 9, 25], [1, 1], 3.8125291848326603
120, 34.30572084459406, 441, 944, 31, 1633, 0, 1670056374653, 1670056378239, [110, 10, 25], [1, -1], 6.334143435117072
110, 24.911647735779773, 750, 1267, 45, 2691, 0, 1670056454163, 1670056457820, [120, 10, 25], [-1, 0], 2.9191056639067
100, 22.243038159475464, 1014, 2097, 30, 2816, 0, 1670056519360, 1670056525029, [110, 10, 24], [-1, 1], 1.807495381072279
100, 23.155632175489, 704, 1433, 48, 2652, 0, 1670056570044, 1670056574441, [100, 10, 25], [0, 1], 2.7248331578593783
90, 28.459523219993866, 781, 1521, 64, 2356, 2, 1670056650289, 1670056653843, [100, 14, 25], [-1, 0], 3.0634578277711375
80, 39.996957815729296, 571, 983, 28, 1737, 0, 1670056707199, 1670056709182, [90, 10, 25], [-1, 0], 6.121358710702371
90, 13.477962839149962, 1986, 5300, 33, 10134, 0, 1670056835574, 1670056839119, [80, 10, 26], [1, 0], 0.5088327861352296
100, 30.756704249191458, 722, 1468, 41, 1986, 0, 1670056898197, 1670056901004, [90, 9, 25], [1, 0], 3.5303838669870817
110, 41.90382210333519, 391, 934, 12, 1496, 0, 1670056954676, 1670056958406, [100, 10, 25], [1, 1], 8.387474400187186
100, 22.69540211332734, 826, 2025, 26, 3031, 0, 1670057110734, 1670057114801, [110, 11, 26], [-1, 1], 2.129424105209921
100, 13.808963613341268, 954, 1851, 17, 4538, 0, 1670057174122, 1670057177415, [100, 8, 25], [0, 1], 1.2183662972773308
90, 40.91200477232013, 497, 902, 31, 1668, 0, 1670057232077, 1670057236320, [100, 9, 25], [-1, -1], 7.078201517702445
90, 27.15480356867322, 640, 1378, 29, 2341, 0, 1670057292790, 1670057297510, [90, 10, 25], [0, -1], 3.4477912098366197
90, 27.561900763926634, 869, 1583, 37, 2243, 0, 1670057340784, 1670057345531, [90, 9, 25], [0, 1], 2.7240463297021775
100, 31.68821837345064, 795, 1327, 61, 1997, 0, 1670057445730, 1670057449216, [90, 10, 25], [1, -1], 3.5154446830985844
100, 2.544590171235005, 3013, 8108, 47, 16743, 1, 1670057620118, 1670057623066, [100, 8, 25], [0, -1], 0.06310987527864596
100, 46.07554901980384, 494, 891, 17, 1265, 0, 1670057676574, 1670057679657, [100, 10, 25], [0, 1], 8.03549860826715
100, 23.710155669668307, 685, 1247, 14, 2936, 0, 1670057727445, 1670057730379, [100, 11, 26], [0, 1], 2.9734331163366328
110, 31.415843982975545, 693, 1306, 43, 2054, 0, 1670057785209, 1670057789650, [100, 9, 25], [1, -1], 3.8518690513702243
120, 7.927884215224243, 2977, 6294, 152, 16642, 0, 1670057964141, 1670057968608, [110, 10, 26], [1, 1], 0.21777508557367986
110, 30.21435626568389, 769, 1500, 37, 2088, 0, 1670058024213, 1670058027981, [120, 10, 25], [-1, 0], 3.301393822736439
120, 31.207735928185834, 642, 1156, 21, 1960, 0, 1670058083163, 1670058086893, [110, 10, 25], [1, -1], 4.1900826971248435
120, 29.1354871467963, 677, 1217, 33, 2654, 0, 1670058147727, 1670058150552, [120, 10, 25], [0, 0], 3.711527025069592
130, 31.882093094174195, 770, 1368, 68, 2073, 0, 1670058206403, 1670058209142, [120, 10, 25], [1, 1], 3.5838683783918834
120, 40.90291437480447, 631, 1087, 41, 1586, 0, 1670058263005, 1670058265164, [130, 10, 24], [-1, 1], 5.6636547181950245
110, 31.73119950695755, 733, 1310, 56, 2060, 0, 1670058318733, 1670058340814, [120, 11, 25], [-1, -1], 3.7401225255725548
120, 28.914926835236628, 761, 1326, 32, 2272, 0, 1670058399778, 1670058403596, [110, 10, 25], [1, 0], 3.308344031491605
110, 29.078516137226682, 909, 1518, 38, 2189, 0, 1670058459608, 1670058463107, [120, 11, 25], [-1, 0], 2.820965865078257
