110, 60, 25.630967766279447, 748, 1634, 31, 2401, 0, 1670068987527, 1670068995516, [100, 7, 24], [1, -1], 35.2723786134665
110, 70, 21.207890657846953, 796, 1515, 77, 2987, 0, 1670069040171, 1670069071451, [110, 12, 24], [0, 1], 39.735179215696284
120, 80, 27.020459045479157, 849, 1516, 37, 2353, 0, 1670069131388, 1670069134944, [110, 11, 24], [1, 1], 41.7937092606123
130, 70, 38.50734643142052, 602, 1036, 16, 1647, 0, 1670069186127, 1670069196044, [120, 10, 25], [1, -1], 46.294496828856616
130, 80, 22.06604539544852, 1521, 4055, 44, 12533, 0, 1670069344950, 1670069347825, [130, 10, 25], [0, 1], 24.856080473178
140, 90, 32.88407449912491, 724, 1195, 22, 1960, 0, 1670069400771, 1670069422688, [130, 8, 25], [1, 1], 52.598586530321725
130, 90, 35.51253299103962, 639, 1492, 40, 1786, 0, 1670069476351, 1670069480554, [140, 10, 25], [-1, 0], 57.61473964140499
120, 90, 30.932127534605314, 705, 1258, 65, 2144, 0, 1670069537322, 1670069540652, [130, 11, 25], [-1, 0], 54.30005055875744
130, 80, 37.298121709143935, 610, 1169, 29, 1647, 0, 1670069592456, 1670069598887, [120, 10, 25], [1, -1], 52.68756039284992
120, 90, 27.390817569171325, 750, 1504, 39, 2170, 1, 1670069658546, 1670069662679, [130, 10, 24], [-1, 1], 52.35216714822508
120, 90, 24.580211556300704, 740, 1504, 18, 2535, 0, 1670069713381, 1670069718842, [120, 10, 25], [0, 0], 53.67873195880352
120, 100, 21.276114673688916, 803, 1515, 23, 3808, 0, 1670069767708, 1670069779533, [120, 11, 25], [0, 1], 56.2996835681749
120, 100, 27.69173656306644, 798, 1487, 32, 2446, 0, 1670069820174, 1670069827791, [120, 10, 25], [0, 1], 55.01960673877814
130, 100, 39.95177332305205, 524, 1033, 13, 1595, 0, 1670069881868, 1670069884045, [120, 9, 25], [1, 0], 73.12003705500277
140, 100, 27.733869299413925, 738, 1341, 56, 2608, 0, 1670069940899, 1670069962877, [130, 10, 25], [1, 0], 58.89729118760649
130, 100, 32.49593993443235, 772, 1463, 28, 1974, 0, 1670070031534, 1670070035724, [140, 10, 25], [-1, 0], 55.43337056815584
130, 100, 18.36930224686693, 821, 1583, 28, 3577, 0, 1670070083106, 1670070100569, [130, 10, 25], [0, 0], 55.898573488081496
140, 90, 23.92190936484757, 982, 1632, 114, 3407, 0, 1670070160875, 1670070182197, [130, 10, 24], [1, -1], 41.75606960295645
150, 100, 23.93027852505221, 682, 1243, 33, 2789, 0, 1670070245124, 1670070249409, [140, 11, 24], [1, 1], 64.29039805335353
160, 90, 27.860580952532636, 719, 1346, 64, 2275, 0, 1670070306303, 1670070310312, [150, 10, 24], [1, -1], 54.18798959274701
160, 100, 31.915143331673526, 627, 1137, 24, 1986, 0, 1670070349801, 1670070353958, [160, 12, 25], [0, 1], 66.25495191777416
170, 100, 30.793303758673225, 835, 1602, 37, 2118, 0, 1670070412103, 1670070416218, [160, 10, 24], [1, 0], 52.18263171569624
160, 90, 31.060503930470063, 657, 1195, 19, 2003, 0, 1670070472877, 1670070476853, [170, 10, 25], [-1, -1], 57.60058867087336
150, 100, 33.61051144289081, 727, 1330, 37, 1791, 0, 1670070530474, 1670070552448, [160, 10, 25], [-1, 1], 58.042209856632624
150, 100, 1.9900996637860353, 1755, 5066, 37, 20379, 0, 1670070758695, 1670070797890, [150, 11, 25], [0, 1], 28.361385790708617
160, 100, 34.9416591620361, 512, 1015, 24, 1913, 0, 1670070851292, 1670070855203, [150, 8, 25], [1, 0], 76.71457418737506
170, 90, 29.953410994648902, 685, 1279, 59, 2205, 0, 1670070911446, 1670070915838, [160, 10, 24], [1, -1], 55.913565005611154
160, 90, 34.690697277434694, 672, 1117, 61, 1906, 0, 1670070972241, 1670070974992, [170, 10, 24], [-1, 0], 55.50328728013334
