110, 60, 28.81103868204168, 599, 1119, 34, 2251, 0, 1670154857000, 1670154861112, [100, 7, 24], [1, -1], 42.002443844174906
120, 70, 32.62596035505957, 509, 1110, 15, 1956, 0, 1670154914963, 1670154918177, [110, 10, 25], [1, 1], 54.729929256203455
110, 80, 30.920126847076723, 661, 1145, 42, 2135, 0, 1670154977785, 1670154982142, [120, 10, 25], [-1, 1], 50.976161155237676
100, 80, 26.704282859019553, 757, 1320, 24, 2465, 0, 1670155041260, 1670155045031, [110, 9, 25], [-1, 0], 46.30609714060755
90, 90, 28.743805353985323, 563, 1087, 48, 2275, 0, 1670155102458, 1670155106448, [100, 10, 25], [-1, 1], 66.3741071628225
90, 100, 26.612481108732975, 651, 1496, 31, 2360, 0, 1670155148343, 1670155152961, [90, 10, 25], [0, 1], 66.01096440441351
100, 100, 20.65438936963538, 874, 1485, 60, 3197, 0, 1670155214080, 1670155221334, [90, 12, 25], [1, 0], 52.26749144327887
90, 100, 21.209733202128717, 990, 2026, 41, 3693, 0, 1670155298329, 1670155301323, [100, 9, 25], [-1, 1], 46.518597785950895
90, 100, 29.852123555221556, 845, 1591, 23, 2955, 0, 1670155344279, 1670155361467, [90, 10, 25], [0, 0], 51.845250534000485
100, 90, 23.95828932502048, 964, 1969, 38, 3295, 0, 1670155433670, 1670155436821, [90, 11, 25], [1, -1], 42.45951326399072
90, 90, 22.548595175118727, 818, 1254, 37, 3048, 0, 1670155514547, 1670155517281, [100, 10, 25], [-1, 0], 49.5488641597763
100, 80, 25.143868354262374, 615, 1410, 35, 2795, 0, 1670155580846, 1670155584289, [90, 10, 24], [1, -1], 55.899065138426465
90, 70, 35.91512069796288, 647, 1036, 61, 2269, 0, 1670155656983, 1670155660459, [100, 10, 24], [-1, -1], 44.26678803576182
100, 80, 19.992670733024244, 902, 1679, 24, 3287, 0, 1670155721892, 1670155728736, [90, 10, 24], [1, 1], 40.73441365944119
110, 80, 30.99569793894048, 674, 1321, 34, 1978, 0, 1670155784813, 1670155788553, [100, 9, 25], [1, 0], 50.12639421959211
100, 90, 31.40989214964479, 746, 1458, 53, 2019, 0, 1670155843333, 1670155846968, [110, 11, 24], [-1, 1], 51.62684396298223
110, 90, 30.22012877234424, 698, 1206, 32, 2070, 0, 1670155920448, 1670155923383, [100, 11, 25], [1, 0], 54.953072115885504
110, 100, 35.6759128242298, 616, 1212, 34, 1832, 0, 1670155965969, 1670155968541, [110, 10, 25], [0, 1], 65.90188397608287
110, 90, 15.239701599941348, 1076, 1854, 22, 6346, 0, 1670156029841, 1670156050570, [110, 10, 24], [0, -1], 39.57927037171615
120, 100, 32.10067889448218, 732, 1278, 54, 2016, 0, 1670156109985, 1670156113495, [110, 9, 25], [1, 1], 58.11232239825651
120, 90, 29.042507439407096, 653, 1308, 45, 2196, 0, 1670156168328, 1670156171993, [120, 10, 25], [0, -1], 58.50461960170219
120, 90, 26.77938216203325, 796, 1491, 15, 2911, 0, 1670156220120, 1670156228566, [120, 9, 24], [0, 0], 49.82740183036865
110, 90, 26.415277815318184, 912, 1511, 42, 2500, 2, 1670156301626, 1670156305372, [120, 9, 25], [-1, 0], 44.21904256931635
