90, 70, 28.27093851301666, 603, 1162, 36, 2191, 0, 1670143163882, 1670143167487, [100, 7, 24], [-1, 0], 48.87696418463243
100, 70, 21.929341204970214, 1021, 1653, 110, 5628, 0, 1670143239324, 1670143261021, [90, 14, 25], [1, 0], 31.568009224502404
100, 70, 15.563056960517134, 1716, 5554, 81, 10921, 0, 1670143348223, 1670143382674, [100, 11, 27], [0, 0], 19.682247238049538
110, 80, 31.08440218533864, 678, 1272, 39, 2105, 0, 1670143441757, 1670143445160, [100, 10, 25], [1, 1], 49.85432511726444
110, 80, 28.417006176503982, 674, 1332, 21, 2000, 1, 1670143501520, 1670143505568, [110, 11, 25], [0, 0], 50.78281553314207
100, 70, 13.191423966722676, 1422, 3399, 108, 8717, 3, 1670143683722, 1670143687588, [110, 9, 26], [-1, -1], 23.732583486373027
100, 70, 44.30255890427175, 491, 1028, 23, 1454, 0, 1670143745463, 1670143746861, [100, 8, 26], [0, 0], 52.37872474024252
100, 60, 31.89037128491823, 670, 1603, 21, 2355, 0, 1670143786804, 1670143793718, [100, 9, 26], [0, -1], 37.61465486857888
110, 60, 34.994976853211, 560, 1002, 28, 1818, 0, 1670143846582, 1670143850383, [100, 10, 26], [1, 0], 42.85837305085127
100, 50, 22.495077520496597, 926, 1550, 35, 2793, 0, 1670143958772, 1670143964390, [110, 10, 27], [-1, -1], 24.606776087995815
110, 50, 35.00942210224466, 593, 1132, 22, 1988, 0, 1670144019657, 1670144021884, [100, 9, 26], [1, 0], 34.10465845795901
110, 40, 35.46591550563593, 528, 1165, 24, 1775, 0, 1670144062400, 1670144066169, [110, 10, 27], [0, -1], 29.856821818955325
110, 30, 27.169788895673435, 663, 1239, 34, 2389, 0, 1670144126547, 1670144129167, [110, 10, 26], [0, -1], 19.438130331087567
120, 40, 41.09972135597036, 584, 1051, 47, 1531, 0, 1670144187751, 1670144190550, [110, 12, 26], [1, 1], 26.723716977040006
130, 30, 39.70099675292797, 645, 1146, 35, 1564, 0, 1670144241998, 1670144246262, [120, 10, 26], [1, -1], 18.66126598322215
120, 20, 31.79650718723677, 605, 1315, 31, 1918, 0, 1670144302030, 1670144305449, [130, 10, 26], [-1, -1], 13.6577312422726
120, 20, 41.090014485895495, 472, 1000, 10, 1516, 0, 1670144341957, 1670144345823, [120, 12, 26], [0, -1], 15.714374079849264
130, 30, 22.964591588509375, 596, 1406, 30, 2835, 0, 1670144420118, 1670144423856, [120, 14, 26], [1, 1], 21.806814794602015
130, 20, 29.11239735278424, 583, 1246, 28, 2061, 0, 1670144463501, 1670144470816, [130, 13, 27], [0, -1], 14.296955994239626
